ctime,relid,indexrelid,schemaname,relname,indexrelname,idx_scan,last_idx_scan,idx_tup_read,idx_tup_fetch,relid,indexrelid,schemaname,relname,indexrelname,idx_blks_read,idx_blks_hit
1707240366.013610,3602,3712,pg_catalog,pg_ts_config,pg_ts_config_oid_index,80,2024-01-16 18:32:27.300103-06,80,80,3602,3712,pg_catalog,pg_ts_config,pg_ts_config_oid_index,2,119
1707240366.013610,3603,3609,pg_catalog,pg_ts_config_map,pg_ts_config_map_index,0,,0,0,3603,3609,pg_catalog,pg_ts_config_map,pg_ts_config_map_index,1,0
1707240366.013610,3600,3605,pg_catalog,pg_ts_dict,pg_ts_dict_oid_index,0,,0,0,3600,3605,pg_catalog,pg_ts_dict,pg_ts_dict_oid_index,1,0
1707240366.013610,3601,3607,pg_catalog,pg_ts_parser,pg_ts_parser_oid_index,0,,0,0,3601,3607,pg_catalog,pg_ts_parser,pg_ts_parser_oid_index,1,0
1707240366.013610,3764,3767,pg_catalog,pg_ts_template,pg_ts_template_oid_index,0,,0,0,3764,3767,pg_catalog,pg_ts_template,pg_ts_template_oid_index,1,0
1707240366.013610,3079,3080,pg_catalog,pg_extension,pg_extension_oid_index,0,,0,0,3079,3080,pg_catalog,pg_extension,pg_extension_oid_index,1,0
1707240366.013610,2328,112,pg_catalog,pg_foreign_data_wrapper,pg_foreign_data_wrapper_oid_index,0,,0,0,2328,112,pg_catalog,pg_foreign_data_wrapper,pg_foreign_data_wrapper_oid_index,1,0
1707240366.013610,1417,113,pg_catalog,pg_foreign_server,pg_foreign_server_oid_index,0,,0,0,1417,113,pg_catalog,pg_foreign_server,pg_foreign_server_oid_index,1,0
1707240366.013610,1418,174,pg_catalog,pg_user_mapping,pg_user_mapping_oid_index,0,,0,0,1418,174,pg_catalog,pg_user_mapping,pg_user_mapping_oid_index,1,0
1707240366.013610,3118,3119,pg_catalog,pg_foreign_table,pg_foreign_table_relid_index,0,,0,0,3118,3119,pg_catalog,pg_foreign_table,pg_foreign_table_relid_index,1,0
