ctime,name,blks_zeroed,blks_hit,blks_read,blks_written,blks_exists,flushes,truncates,stats_reset
1719459043.683945,Xact,705,89826182,9,759,0,44,0,2024-06-13 18:53:49.178489+00
1719459043.683945,other,0,0,0,0,0,0,0,2024-06-13 18:53:49.178489+00
1719459103.692369,CommitTs,0,0,0,0,0,44,0,2024-06-13 18:53:49.178489+00
1719459103.692369,MultiXactMember,2,2851,5,12,0,54,0,2024-06-13 18:53:49.178489+00
1719459103.692369,MultiXactOffset,1,2854,10,11,10,54,0,2024-06-13 18:53:49.178489+00
1719459103.692369,Notify,0,0,0,0,0,0,0,2024-06-13 18:53:49.178489+00
1719459103.692369,Serial,0,0,0,0,0,0,0,2024-06-13 18:53:49.178489+00
1719459103.692369,Subtrans,739,172,0,736,0,44,43,2024-06-13 18:53:49.178489+00
1719459103.692369,Xact,705,89826182,9,759,0,44,0,2024-06-13 18:53:49.178489+00
1719459103.692369,other,0,0,0,0,0,0,0,2024-06-13 18:53:49.178489+00
1719459163.706867,CommitTs,0,0,0,0,0,44,0,2024-06-13 18:53:49.178489+00
1719459163.706867,MultiXactMember,2,2851,5,12,0,54,0,2024-06-13 18:53:49.178489+00
1719459163.706867,MultiXactOffset,1,2854,10,11,10,54,0,2024-06-13 18:53:49.178489+00
1719459163.706867,Notify,0,0,0,0,0,0,0,2024-06-13 18:53:49.178489+00
1719459163.706867,Serial,0,0,0,0,0,0,0,2024-06-13 18:53:49.178489+00
1719459163.706867,Subtrans,739,172,0,736,0,44,43,2024-06-13 18:53:49.178489+00
1719459163.706867,Xact,705,89826182,9,759,0,44,0,2024-06-13 18:53:49.178489+00
1719459163.706867,other,0,0,0,0,0,0,0,2024-06-13 18:53:49.178489+00
1719459223.709933,CommitTs,0,0,0,0,0,44,0,2024-06-13 18:53:49.178489+00
1719459223.709933,MultiXactMember,2,2851,5,12,0,54,0,2024-06-13 18:53:49.178489+00
1719459223.709933,MultiXactOffset,1,2854,10,11,10,54,0,2024-06-13 18:53:49.178489+00
1719459223.709933,Notify,0,0,0,0,0,0,0,2024-06-13 18:53:49.178489+00
1719459223.709933,Serial,0,0,0,0,0,0,0,2024-06-13 18:53:49.178489+00
1719459223.709933,Subtrans,739,172,0,736,0,44,43,2024-06-13 18:53:49.178489+00
1719459223.709933,Xact,705,89826182,9,759,0,44,0,2024-06-13 18:53:49.178489+00
1719459223.709933,other,0,0,0,0,0,0,0,2024-06-13 18:53:49.178489+00
1719459283.717724,CommitTs,0,0,0,0,0,44,0,2024-06-13 18:53:49.178489+00
1719459283.717724,MultiXactMember,2,2851,5,12,0,54,0,2024-06-13 18:53:49.178489+00
1719459283.717724,MultiXactOffset,1,2854,10,11,10,54,0,2024-06-13 18:53:49.178489+00
1719459283.717724,Notify,0,0,0,0,0,0,0,2024-06-13 18:53:49.178489+00
1719459283.717724,Serial,0,0,0,0,0,0,0,2024-06-13 18:53:49.178489+00
1719459283.717724,Subtrans,739,172,0,736,0,44,43,2024-06-13 18:53:49.178489+00
1719459283.717724,Xact,705,89826182,9,759,0,44,0,2024-06-13 18:53:49.178489+00
1719459283.717724,other,0,0,0,0,0,0,0,2024-06-13 18:53:49.178489+00
1719459343.732568,CommitTs,0,0,0,0,0,44,0,2024-06-13 18:53:49.178489+00
1719459343.732568,MultiXactMember,2,2851,5,12,0,54,0,2024-06-13 18:53:49.178489+00
