Time,UID,PID,%usr,%system,%guest,%CPU,CPU,minflt/s,majflt/s,VSZ,RSS,%MEM,kB_rd/s,kB_wr/s,kB_ccwr/s,cswch/s,nvcswch/s,Command
1707240546,1002,7696,0.00,0.00,0.00,0.00,1,5.12,0.00,1282896,23816,0.60,3.00,0.00,0.00,0.27,0.00,/usr/local/bin/postgres -D /home/markwkm/.local/dbt5
1707240546,1002,7697,0.00,0.00,0.00,0.00,1,0.00,0.00,1283384,27540,0.70,0.00,0.00,0.00,0.00,0.00,postgres: checkpointer
1707240546,1002,7698,0.03,0.00,0.00,0.03,1,3.48,0.00,1283288,93808,2.38,0.00,2.67,0.00,4.93,0.00,postgres: background writer
1707240546,1002,7700,0.00,0.02,0.00,0.02,1,0.37,0.00,1282896,14548,0.37,0.00,0.67,0.00,3.70,0.00,postgres: walwriter
1707240546,1002,7701,0.00,0.00,0.00,0.00,0,0.00,0.00,1285164,1180,0.03,0.00,0.00,0.00,0.15,0.00,postgres: autovacuum launcher
1707240546,1002,7702,0.00,0.00,0.00,0.00,0,0.28,0.00,1285104,924,0.02,0.00,0.00,0.00,0.02,0.00,postgres: logical replication launcher
1707240546,1002,12506,0.00,0.00,0.00,0.00,0,0.02,0.00,15420,2500,0.06,-1.00,-1.00,-1.00,0.02,0.00,sshd: markwkm@pts/1
1707240546,0,13016,0.00,0.00,0.00,0.00,0,0.00,0.00,0,0,0.00,-1.00,-1.00,-1.00,4.02,0.00,kworker/0:0
1707240546,89,13090,0.00,0.00,0.00,0.00,1,0.00,0.00,18120,3924,0.10,-1.00,-1.00,-1.00,0.02,0.00,pickup -l -t unix -u
1707240546,1002,19502,0.02,0.03,0.00,0.05,1,4.30,0.00,6128,2628,0.07,0.00,0.00,0.00,3.00,0.00,tmux
1707240546,0,22213,0.00,0.00,0.00,0.00,1,0.00,0.00,0,0,0.00,-1.00,-1.00,-1.00,1.07,0.00,kworker/1:1
1707240546,0,26867,0.00,0.00,0.00,0.00,2,0.00,0.00,0,0,0.00,-1.00,-1.00,-1.00,0.03,0.00,kworker/2:1
1707240546,0,27023,0.00,0.00,0.00,0.00,0,0.00,0.00,0,0,0.00,-1.00,-1.00,-1.00,0.02,0.00,kworker/0:2
1707240546,1002,27518,0.02,0.00,0.00,0.02,1,0.03,0.00,300136,2072,0.05,0.00,0.07,0.00,0.00,0.00,/home/markwkm/.local/egen/bin/BrokerageHouseMain -d dbt5 -o /tmp/results/bh
1707240546,1002,27538,0.00,0.02,0.00,0.02,1,0.02,0.00,252380,85492,2.17,0.00,0.33,0.00,0.00,0.00,/home/markwkm/.local/egen/bin/DriverMain -c 5000 -t 5000 -f 500 -w 300 -d 3600 -y 1000 -u 2 -n 0 -i /home/markwkm/.local/egen/f
